Block   Params  N_of_Blocks Total_Params
B	0.482	45	21.690
BBBC	1.652	13	21.476
BBBCF	2.178	10	21.780
BBBF	1.972	11	21.692
BBBFC	2.178	10	21.780
BBBFF	2.498	9	22.482
BBC	1.170	18	21.060
BBCB	1.652	13	21.476
BBCBC	1.858	12	22.296
BBCBF	2.178	10	21.780
BBCF	1.696	13	22.048
BBCFB	2.178	10	21.780
BBCFC	1.902	11	20.922
BBCFF	2.222	10	22.220
BBF	1.490	14	20.860
BBFB	1.972	11	21.692
BBFBC	2.178	10	21.780
BBFBF	2.498	9	22.482
BBFC	1.696	13	22.048
BBFCB	2.178	10	21.780
BBFCF	2.222	10	22.220
BBFF	2.016	11	22.176
BBFFB	2.498	9	22.482
BBFFC	2.222	10	22.220
BBFFF	2.542	8	20.336
BC	0.688	31	21.328
BCB	1.170	18	21.060
BCBB	1.652	13	21.476
BCBBC	1.858	12	22.296
BCBBF	2.178	10	21.780
BCBCB	1.858	12	22.296
BCBCF	1.902	11	20.922
BCBF	1.696	13	22.048
BCBFB	2.178	10	21.780
BCBFC	1.902	11	20.922
BCBFF	2.222	10	22.220
BCF	1.214	18	21.852
BCFB	1.696	13	22.048
BCFBB	2.178	10	21.780
BCFBC	1.902	11	20.922
BCFBF	2.222	10	22.220
BCFC	1.420	15	21.300
BCFCB	1.902	11	20.922
BCFCF	1.946	11	21.406
BCFF	1.740	12	20.880
BCFFB	2.222	10	22.220
BCFFC	1.946	11	21.406
BCFFF	2.266	9	20.394
BF	1.008	21	21.168
BFB	1.490	14	20.860
BFBB	1.972	11	21.692
BFBBC	2.178	10	21.780
BFBBF	2.498	9	22.482
BFBC	1.696	13	22.048
BFBCB	2.178	10	21.780
BFBCF	2.222	10	22.220
BFBFB	2.498	9	22.482
BFBFC	2.222	10	22.220
BFBFF	2.542	8	20.336
BFC	1.214	18	21.852
BFCB	1.696	13	22.048
BFCBB	2.178	10	21.780
BFCBC	1.902	11	20.922
BFCBF	2.222	10	22.220
BFCF	1.740	12	20.880
BFCFB	2.222	10	22.220
BFCFC	1.946	11	21.406
BFCFF	2.266	9	20.394
BFF	1.534	14	21.476
BFFB	2.016	11	22.176
