Block   Params  N_of_Blocks Total_Params
BFFBB	2.498	9	22.482
BFFBC	2.222	10	22.220
BFFBF	2.542	8	20.336
BFFC	1.740	12	20.880
BFFCB	2.222	10	22.220
BFFCF	2.266	9	20.394
BFFF	2.060	10	20.600
BFFFB	2.542	8	20.336
BFFFC	2.266	9	20.394
BFFFF	2.586	8	20.688
C	0.206	104	21.424
CB	0.688	31	21.328
CBB	1.170	18	21.060
CBBB	1.652	13	21.476
CBBBC	1.858	12	22.296
CBBBF	2.178	10	21.780
CBBC	1.376	16	22.016
CBBCB	1.858	12	22.296
CBBCF	1.902	11	20.922
CBBF	1.696	13	22.048
CBBFB	2.178	10	21.780
CBBFC	1.902	11	20.922
CBBFF	2.222	10	22.220
CBC	0.894	24	21.456
CBCBB	1.858	12	22.296
CBCBC	1.582	14	22.148
CBCBF	1.902	11	20.922
CBCF	1.420	15	21.300
CBCFB	1.902	11	20.922
CBCFC	1.626	13	21.138
CBCFF	1.946	11	21.406
CBF	1.214	18	21.852
CBFB	1.696	13	22.048
CBFBB	2.178	10	21.780
CBFBC	1.902	11	20.922
CBFBF	2.222	10	22.220
CBFC	1.420	15	21.300
CBFCB	1.902	11	20.922
CBFCF	1.946	11	21.406
CBFF	1.740	12	20.880
CBFFB	2.222	10	22.220
CBFFC	1.946	11	21.406
CBFFF	2.266	9	20.394
CF	0.732	29	21.228
CFB	1.214	18	21.852
CFBB	1.696	13	22.048
CFBBB	2.178	10	21.780
CFBBC	1.902	11	20.922
CFBBF	2.222	10	22.220
CFBC	1.420	15	21.300
CFBCB	1.902	11	20.922
CFBCF	1.946	11	21.406
CFBF	1.740	12	20.880
CFBFB	2.222	10	22.220
CFBFC	1.946	11	21.406
CFBFF	2.266	9	20.394
CFCB	1.420	15	21.300
CFCBB	1.902	11	20.922
CFCBC	1.626	13	21.138
CFCBF	1.946	11	21.406
CFCFB	1.946	11	21.406
CFFB	1.740	12	20.880
CFFBB	2.222	10	22.220
CFFBC	1.946	11	21.406
CFFBF	2.266	9	20.394
CFFCB	1.946	11	21.406
CFFFB	2.266	9	20.394
F	0.526	41	21.566
FB	1.008	21	21.168
FBB	1.490	14	20.860
FBBB	1.972	11	21.692
